76629.0,-0.04,-0.15,-1.01,0.045577,-0.707177,-0.705529,0.007205
76639.0,-0.05,-0.15,-1.02,0.045692,-0.706922,-0.705778,0.007133
76649.0,-0.04,-0.13,-1.0,0.045822,-0.706658,-0.706036,0.007002
76659.0,-0.03,-0.12,-1.0,0.045976,-0.70638,-0.706305,0.006817
76669.0,-0.03,-0.13,-0.99,0.046178,-0.706108,-0.706566,0.006647
76679.0,-0.03,-0.11,-0.99,0.046425,-0.705847,-0.706811,0.006524
76689.0,-0.04,-0.12,-0.99,0.046652,-0.7056,-0.707044,0.006413
76699.0,-0.03,-0.11,-1.01,0.04684,-0.705344,-0.707288,0.006243
76709.0,-0.04,-0.11,-1.0,0.047018,-0.705076,-0.707546,0.005963
76719.0,-0.04,-0.08,-1.01,0.047207,-0.704823,-0.707789,0.005591
76729.0,-0.03,-0.08,-1.01,0.047473,-0.704593,-0.708003,0.00519
76739.0,-0.06,-0.09,-0.99,0.047857,-0.704377,-0.708194,0.004841
76749.0,-0.04,-0.08,-1.0,0.048383,-0.704183,-0.708354,0.004556
76759.0,-0.03,-0.09,-0.99,0.049025,-0.704015,-0.708478,0.00436
76769.0,-0.02,-0.11,-0.97,0.049722,-0.703863,-0.708581,0.004236
76779.0,-0.03,-0.11,-0.96,0.050369,-0.703734,-0.708663,0.004134
76789.0,-0.0,-0.11,-0.96,0.050894,-0.703616,-0.708744,0.004023
76799.0,-0.01,-0.11,-0.95,0.051266,-0.703531,-0.708802,0.003878
76809.0,0.01,-0.11,-0.97,0.051488,-0.703465,-0.708853,0.003718
76819.0,-0.0,-0.12,-0.97,0.051621,-0.703412,-0.708897,0.003572
76829.0,-0.01,-0.12,-0.98,0.051689,-0.703357,-0.708947,0.003455
76839.0,-0.0,-0.12,-1.0,0.051715,-0.703287,-0.709015,0.003292
76849.0,-0.02,-0.13,-1.0,0.051632,-0.703213,-0.709095,0.003092
76859.0,-0.02,-0.11,-1.0,0.051486,-0.70313,-0.709189,0.002858
76869.0,-0.04,-0.11,-1.01,0.051345,-0.703033,-0.709296,0.002664
